id;ttc_amount;bic;iban
1;Mongolie Manager;SOFAKRO1;KZ28237373F64T348598
2;microchip intranet supply-chains;IZQIHMI1;DO70JGEW00650452086506037002
3;Granite;DZYERUM1XUB;GL5968110062099324
4;Richelieu;QOPIGRN1611;SE3771870800200105610354
5;centrafricaine blue Croatian;FIUOMZH1;GI07VJBP560848377028I27
6;disintermediate artificial Re-contextualized;SDLECFU1;RO85WRGTB9R39F5D86Y32516
7;content stable knowledge;UMSOPEL1133;IL322004440010080834028
8;Cotton tan Small;KYUATGP1IIU;FO7665212096508002
9;Metal RSS index;WKYIMXL1622;GL7410911689006187
10;maximize la Tilsitt;RLWAGIC1511;AT547002500500200655
